0,1,2,3,4
9,9,3,3,3
12,12,12,12,12
9,9,9,0,0
9,9,9,9,9
12,12,0,0,0
12,12,9,0,0
12,12,9,9,9
3,3,3,3,3
12,12,12,3,3
12,12,9,3,3
12,12,3,3,3
12,12,3,0,0
3,3,0,0,0
9,9,9,3,3
9,9,0,0,0
0,0,0,0,0
12,12,12,9,9
9,9,3,0,0
12,12,12,0,0
3,3,3,0,0
