model,utt_idx,obs_idx,p_low,p_info,p_high,highlight_info_gt_low_plus_high,utt_label,obs_label
lr,0,0,0.22861374425393452,0.3773905700599809,0.39399568561652054,False,none / none / right,[9 9 3 3 3]
lr,0,1,0.8801735619308343,0.11744050582051443,0.0023859321630531664,False,none / none / right,[12 12 12 12 12]
lr,0,2,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[9 9 9 0 0]
lr,0,3,0.5687951869160235,0.3478005134546112,0.0834042995418183,False,none / none / right,[9 9 9 9 9]
lr,0,4,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[12 12  0  0  0]
lr,0,5,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[12 12  9  0  0]
lr,0,6,0.6267498980982198,0.3095874783335216,0.06366262349128632,False,none / none / right,[12 12  9  9  9]
lr,0,7,0.07305780482550625,0.33271312954078386,0.5942290655499693,False,none / none / right,[3 3 3 3 3]
lr,0,8,0.5925150461035735,0.35311605589168854,0.05436889791691422,False,none / none / right,[12 12 12  3  3]
lr,0,9,0.44230818761177354,0.39445590420904086,0.16323590810765767,False,none / none / right,[12 12  9  3  3]
lr,0,10,0.3013816620050224,0.45381790417725804,0.24480043373539584,False,none / none / right,[12 12  3  3  3]
lr,0,11,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[12 12  3  0  0]
lr,0,12,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[3 3 0 0 0]
lr,0,13,0.36518234574490976,0.382043546466974,0.25277410771769443,False,none / none / right,[9 9 9 3 3]
lr,0,14,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[9 9 0 0 0]
lr,0,15,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[0 0 0 0 0]
lr,0,16,0.7184139751847108,0.24865666483347593,0.0329293599032847,False,none / none / right,[12 12 12  9  9]
lr,0,17,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[9 9 3 0 0]
lr,0,18,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[12 12 12  0  0]
lr,0,19,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[3 3 3 0 0]
lr,1,0,0.25277410771769443,0.382043546466974,0.36518234574490976,False,none / none / wrong,[9 9 3 3 3]
lr,1,1,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / wrong,[12 12 12 12 12]
lr,1,2,0.24480043373539584,0.4538179041772581,0.3013816620050224,False,none / none / wrong,[9 9 9 0 0]
lr,1,3,0.5942290655499693,0.3327131295407839,0.07305780482550625,False,none / none / wrong,[9 9 9 9 9]
lr,1,4,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / wrong,[12 12  0  0  0]
lr,1,5,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / wrong,[12 12  9  0  0]
lr,1,6,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / wrong,[12 12  9  9  9]
lr,1,7,0.0834042995418183,0.34780051345461127,0.5687951869160234,False,none / none / wrong,[3 3 3 3 3]
lr,1,8,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / wrong,[12 12 12  3  3]
lr,1,9,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / wrong,[12 12  9  3  3]
lr,1,10,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / wrong,[12 12  3  3  3]
lr,1,11,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / wrong,[12 12  3  0  0]
lr,1,12,0.03292935990328472,0.24865666483347593,0.718413975184711,False,none / none / wrong,[3 3 0 0 0]
lr,1,13,0.3939956856165205,0.37739057005998083,0.22861374425393455,False,none / none / wrong,[9 9 9 3 3]
lr,1,14,0.05436889791691421,0.35311605589168854,0.5925150461035735,False,none / none / wrong,[9 9 0 0 0]
lr,1,15,0.0023859321630531664,0.11744050582051442,0.8801735619308343,False,none / none / wrong,[0 0 0 0 0]
lr,1,16,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / wrong,[12 12 12  9  9]
lr,1,17,0.16323590810765767,0.39445590420904086,0.4423081876117736,False,none / none / wrong,[9 9 3 0 0]
lr,1,18,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / wrong,[12 12 12  0  0]
lr,1,19,0.06366262349128632,0.3095874783335216,0.6267498980982197,False,none / none / wrong,[3 3 3 0 0]
lr,2,0,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / some / right,[9 9 3 3 3]
lr,2,1,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / some / right,[12 12 12 12 12]
lr,2,2,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / some / right,[9 9 9 0 0]
lr,2,3,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / some / right,[9 9 9 9 9]
lr,2,4,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / some / right,[12 12  0  0  0]
lr,2,5,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / some / right,[12 12  9  0  0]
lr,2,6,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / some / right,[12 12  9  9  9]
lr,2,7,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / some / right,[3 3 3 3 3]
lr,2,8,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / some / right,[12 12 12  3  3]
lr,2,9,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / some / right,[12 12  9  3  3]
